name,location,bachelor_tuition,masters_tuition,doctorate_tuition,application_url,review,reviewer
St. Scholastica's College,"Private College, Manila, Metro Manila","Bachelor's ₱ 90,000-130,000 per year","Master's ₱ 90,000-100,000 per year","Bachelor's ₱ 160,000-180,000 per year",https://www.finduniversity.ph/universities/st-scholastica-s-college/contact/,"""The atmosphere is actually different from my past co-ed school. Girls are mature and responsible so never did I have chance to try and the stupid things such as cutting class, vices etc.The professors...""","N. R.  STUDIED BSBA-FM,  GRADUATED 2014"
Ateneo de Manila University,"Private College, Manila, Metro Manila","Bachelor's ₱ 90,000-130,000 per year","Master's ₱ 90,000-100,000 per year","Bachelor's ₱ 160,000-180,000 per year",https://www.finduniversity.ph/universities/st-scholastica-s-college/contact/,"""The atmosphere is actually different from my past co-ed school. Girls are mature and responsible so never did I have chance to try and the stupid things such as cutting class, vices etc.The professors...""","N. R.  STUDIED BSBA-FM,  GRADUATED 2014"
Mapúa University,"Private College, Manila, Metro Manila","Bachelor's ₱ 90,000-130,000 per year","Master's ₱ 90,000-100,000 per year","Bachelor's ₱ 160,000-180,000 per year",https://www.finduniversity.ph/universities/st-scholastica-s-college/contact/,"""The atmosphere is actually different from my past co-ed school. Girls are mature and responsible so never did I have chance to try and the stupid things such as cutting class, vices etc.The professors...""","N. R.  STUDIED BSBA-FM,  GRADUATED 2014"
University of Asia and the Pacific,"Private College, Manila, Metro Manila","Bachelor's ₱ 90,000-130,000 per year","Master's ₱ 90,000-100,000 per year","Bachelor's ₱ 160,000-180,000 per year",https://www.finduniversity.ph/universities/st-scholastica-s-college/contact/,"""The atmosphere is actually different from my past co-ed school. Girls are mature and responsible so never did I have chance to try and the stupid things such as cutting class, vices etc.The professors...""","N. R.  STUDIED BSBA-FM,  GRADUATED 2014"
The National Teachers College,"Private College, Manila, Metro Manila","Bachelor's ₱ 90,000-130,000 per year","Master's ₱ 90,000-100,000 per year","Bachelor's ₱ 160,000-180,000 per year",https://www.finduniversity.ph/universities/st-scholastica-s-college/contact/,"""The atmosphere is actually different from my past co-ed school. Girls are mature and responsible so never did I have chance to try and the stupid things such as cutting class, vices etc.The professors...""","N. R.  STUDIED BSBA-FM,  GRADUATED 2014"
Far Eastern University Institute of Technology,"Private College, Manila, Metro Manila","Bachelor's ₱ 90,000-130,000 per year","Master's ₱ 90,000-100,000 per year","Bachelor's ₱ 160,000-180,000 per year",https://www.finduniversity.ph/universities/st-scholastica-s-college/contact/,"""The atmosphere is actually different from my past co-ed school. Girls are mature and responsible so never did I have chance to try and the stupid things such as cutting class, vices etc.The professors...""","N. R.  STUDIED BSBA-FM,  GRADUATED 2014"
Enderun Colleges,"Private College, Manila, Metro Manila","Bachelor's ₱ 90,000-130,000 per year","Master's ₱ 90,000-100,000 per year","Bachelor's ₱ 160,000-180,000 per year",https://www.finduniversity.ph/universities/st-scholastica-s-college/contact/,"""The atmosphere is actually different from my past co-ed school. Girls are mature and responsible so never did I have chance to try and the stupid things such as cutting class, vices etc.The professors...""","N. R.  STUDIED BSBA-FM,  GRADUATED 2014"
Saint Rita College,"Private College, Manila, Metro Manila","Bachelor's ₱ 90,000-130,000 per year","Master's ₱ 90,000-100,000 per year","Bachelor's ₱ 160,000-180,000 per year",https://www.finduniversity.ph/universities/st-scholastica-s-college/contact/,"""The atmosphere is actually different from my past co-ed school. Girls are mature and responsible so never did I have chance to try and the stupid things such as cutting class, vices etc.The professors...""","N. R.  STUDIED BSBA-FM,  GRADUATED 2014"
Centro Escolar University,"Private College, Manila, Metro Manila","Bachelor's ₱ 90,000-130,000 per year","Master's ₱ 90,000-100,000 per year","Bachelor's ₱ 160,000-180,000 per year",https://www.finduniversity.ph/universities/st-scholastica-s-college/contact/,"""The atmosphere is actually different from my past co-ed school. Girls are mature and responsible so never did I have chance to try and the stupid things such as cutting class, vices etc.The professors...""","N. R.  STUDIED BSBA-FM,  GRADUATED 2014"
Adamson University,"Private College, Manila, Metro Manila","Bachelor's ₱ 90,000-130,000 per year","Master's ₱ 90,000-100,000 per year","Bachelor's ₱ 160,000-180,000 per year",https://www.finduniversity.ph/universities/st-scholastica-s-college/contact/,"""The atmosphere is actually different from my past co-ed school. Girls are mature and responsible so never did I have chance to try and the stupid things such as cutting class, vices etc.The professors...""","N. R.  STUDIED BSBA-FM,  GRADUATED 2014"
